Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
86.0,34.21744,134.0,33.0,86.0,56.49438,21.886904,114.0,11.0,56.49438202247191,89.8641586303711,105620,7.888106107711792,,20
61.82353,26.478037,125.0,12.0,61.8235294117647,60.190475,24.622131,149.0,16.0,60.19047619047619,97.14681243896484,110676,8.242119312286377,,21
58.22222,29.287,133.0,9.0,58.22222222222222,56.685394,26.052063,137.0,11.0,56.68539325842696,94.13877868652344,115721,8.59841513633728,,22
68.2,31.023003,124.0,28.0,68.2,56.47191,23.565395,119.0,12.0,56.47191011235955,91.06687927246094,120747,8.949297189712524,,23
63.0,28.68144,133.0,18.0,63.0,54.45652,23.33192,122.0,12.0,54.45652173913044,88.39884948730469,125757,9.301450967788696,,24
74.57143,24.088272,133.0,32.0,74.57142857142857,62.123455,33.25709,254.0,14.0,62.123456790123456,109.6890640258789,130789,9.654728174209595,,25
74.5,32.133095,144.0,11.0,74.5,73.55882,30.441547,192.0,15.0,73.55882352941177,117.17195892333984,135791,10.005755186080933,,26
95.09091,44.32618,173.0,42.0,95.0909090909091,81.83871,30.239471,167.0,30.0,81.83870967741936,128.49649047851562,140865,10.359863042831421,,27
94.0,28.79236,153.0,61.0,94.0,83.833336,31.074192,180.0,29.0,83.83333333333333,129.8461456298828,145895,10.714171171188354,,28
121.111115,47.124996,233.0,79.0,121.11111111111111,94.01852,38.631447,232.0,34.0,94.01851851851852,150.26194763183594,150972,11.074974060058594,,29
97.90909,40.984375,182.0,39.0,97.9090909090909,86.965515,28.214672,191.0,17.0,86.96551724137932,131.90533447265625,156016,11.42960000038147,,30
111.1,33.649517,159.0,66.0,111.1,91.625,33.202606,214.0,42.0,91.625,138.7619171142578,161147,11.79114317893982,,31
128.33333,45.72381,201.0,51.0,128.33333333333334,88.52631,31.961657,170.0,45.0,88.52631578947368,135.6668701171875,166193,12.15161418914795,,32
118.888885,29.43333,173.0,72.0,118.88888888888889,111.48889,40.096897,218.0,23.0,111.4888888888889,170.97384643554688,171210,12.505395889282227,,33
70.53333,16.374233,114.0,46.0,70.53333333333333,96.80769,30.56899,195.0,49.0,96.8076923076923,144.57217407226562,176244,12.861938238143921,,34
59.82353,7.905585,78.0,42.0,59.8235294117647,69.736115,21.322908,153.0,38.0,69.73611111111111,103.14930725097656,181265,13.214872121810913,,35
50.04762,13.840852,72.0,11.0,50.04761904761905,57.340908,15.960809,87.0,9.0,57.34090909090909,83.23249053955078,186311,13.574441909790039,,36
54.789474,15.436044,80.0,19.0,54.78947368421053,55.395603,12.1328535,83.0,12.0,55.395604395604394,79.08786010742188,191352,13.926506042480469,,37
61.764706,12.022182,86.0,32.0,61.76470588235294,57.931034,12.9559765,98.0,21.0,57.93103448275862,82.52252960205078,196392,14.279944896697998,,38
67.73333,18.887268,95.0,20.0,67.73333333333333,60.349396,16.347458,110.0,10.0,60.34939759036145,87.1163330078125,201401,14.670246124267578,,39
77.78571,22.210611,118.0,36.0,77.78571428571429,66.64474,19.0489,145.0,10.0,66.64473684210526,96.6054916381836,206466,15.028191089630127,,40
102.90909,34.126648,174.0,62.0,102.9090909090909,83.55,23.810658,151.0,35.0,83.55,120.2839126586914,211479,15.384160995483398,,41
145.85715,45.16455,217.0,64.0,145.85714285714286,107.55319,53.28798,344.0,30.0,107.55319148936171,176.7219696044922,216534,15.734958171844482,,42
97.90909,34.895832,162.0,43.0,97.9090909090909,120.92857,35.685394,200.0,62.0,120.92857142857143,175.4770965576172,221613,16.088252067565918,,43
93.916664,26.778282,140.0,46.0,93.91666666666667,132.6842,53.119083,307.0,53.0,132.68421052631578,206.01190185546875,226655,16.438408136367798,,44
150.0,70.71876,315.0,82.0,150.0,132.10527,57.486282,302.0,40.0,132.10526315789474,210.0452117919922,231675,16.771621227264404,,45
106.0,45.609013,195.0,38.0,106.0,133.78947,49.34527,256.0,30.0,133.78947368421052,200.2311553955078,236759,17.120976209640503,,46
139.125,18.230726,174.0,114.0,139.125,140.13889,53.191036,263.0,34.0,140.13888888888889,213.87991333007812,241804,17.47216510772705,,47
98.545456,43.16641,176.0,29.0,98.54545454545455,121.95238,66.45405,288.0,22.0,121.95238095238095,208.9296112060547,246926,17.815630197525024,,48
112.44444,76.36915,285.0,46.0,112.44444444444444,139.13889,86.75673,471.0,25.0,139.13888888888889,250.07362365722656,251935,18.15446710586548,,49
109.9,49.273624,200.0,57.0,109.9,123.39024,59.718395,289.0,28.0,123.39024390243902,204.10696411132812,256994,18.49830913543701,,50
130.625,99.25842,349.0,39.0,130.625,150.05882,90.86834,440.0,33.0,150.05882352941177,268.5279235839844,262096,18.844719171524048,,51
202.14285,199.15996,668.0,56.0,202.14285714285714,140.16667,88.73509,472.0,49.0,140.16666666666666,254.99313354492188,267142,19.20380210876465,,52
247.4,70.36647,378.0,183.0,247.4,199.73077,122.74789,543.0,30.0,199.73076923076923,354.8851318359375,272335,19.55813717842102,,53
140.75,37.409058,185.0,69.0,140.75,186.32143,97.399414,381.0,41.0,186.32142857142858,306.4758605957031,277552,20.03989601135254,,54
157.42857,47.270824,191.0,44.0,157.42857142857142,186.10715,61.279415,317.0,58.0,186.10714285714286,267.85040283203125,282763,20.389172077178955,,55
140.125,29.297771,198.0,104.0,140.125,143.33333,38.159023,254.0,34.0,143.33333333333334,197.92678833007812,287923,20.73309016227722,,56
127.75,20.234562,152.0,95.0,127.75,125.425,34.46149,186.0,35.0,125.425,175.3846893310547,292940,21.06270408630371,,57
183.0,29.297325,231.0,147.0,183.0,130.0,30.950747,188.0,50.0,130.0,176.39483642578125,298010,21.40364122390747,,58
276.0,113.1415,471.0,199.0,276.0,146.02856,42.4799,270.0,68.0,146.02857142857144,201.8560028076172,303121,21.751176118850708,,59
419.0,232.2025,646.0,100.0,419.0,217.83333,101.46578,396.0,27.0,217.83333333333334,336.7821350097656,308349,22.113238096237183,,60
425.66666,332.91873,874.0,77.0,425.6666666666667,389.64285,374.3693,1000.0,40.0,389.64285714285717,943.9014892578125,313804,22.484375,,61
1000.0,0.0,1000.0,1000.0,1000.0,338.05884,244.19724,1000.0,87.0,338.05882352941177,644.0071411132812,319551,22.854387283325195,,62
537.6667,299.02213,949.0,247.0,537.6666666666666,367.0,238.884,890.0,51.0,367.0,660.1727905273438,324689,23.220285177230835,,63
165.28572,43.80383,220.0,90.0,165.28571428571428,523.36365,326.89902,1000.0,99.0,523.3636363636364,915.6513671875,330446,23.59847402572632,,64
260.0,213.2897,599.0,53.0,260.0,399.23077,262.52008,1000.0,100.0,399.2307692307692,727.6673583984375,335636,23.96993112564087,,65
217.0,97.50282,348.0,87.0,217.0,385.84616,289.05383,1000.0,45.0,385.84615384615387,757.9410400390625,340652,24.306737184524536,,66
190.83333,71.03853,274.0,104.0,190.83333333333334,321.25,168.27452,526.0,34.0,321.25,503.3683776855469,345792,24.648607969284058,,67
116.5,33.62514,167.0,56.0,116.5,162.3871,60.373394,333.0,59.0,162.38709677419354,231.19090270996094,350826,24.995373010635376,,68
91.27273,21.566349,128.0,59.0,91.27272727272727,111.5,32.338394,195.0,54.0,111.5,150.34947204589844,355955,25.336762189865112,,69
99.545456,21.034016,126.0,64.0,99.54545454545455,109.04348,33.61027,201.0,47.0,109.04347826086956,148.85922241210938,360971,25.678234100341797,,70
111.9,23.222616,165.0,76.0,111.9,97.59615,19.92897,144.0,62.0,97.59615384615384,126.43216705322266,366046,26.01960015296936,,71
120.888885,35.32844,201.0,81.0,120.88888888888889,104.14286,21.552973,160.0,72.0,104.14285714285714,133.6130828857422,371149,26.37284207344055,,72
174.0,50.079937,251.0,107.0,174.0,131.05128,43.673588,291.0,74.0,131.05128205128204,180.1388702392578,376260,26.738234043121338,,73
167.66667,42.91335,223.0,92.0,167.66666666666666,165.32259,46.10394,279.0,94.0,165.32258064516128,216.7496795654297,381385,27.075645208358765,,74
116.333336,18.275667,149.0,93.0,116.33333333333333,151.90909,42.95901,273.0,87.0,151.9090909090909,200.8541259765625,386398,27.412562131881714,,75
87.833336,9.948479,100.0,74.0,87.83333333333333,114.068184,37.33838,251.0,67.0,114.06818181818181,156.41455078125,391417,27.75360417366028,,76
78.07692,10.080152,105.0,67.0,78.07692307692308,86.5,11.352123,124.0,62.0,86.5,108.24994659423828,396434,28.088261127471924,,77
72.07143,7.7961926,90.0,59.0,72.07142857142857,75.10448,7.9440856,93.0,61.0,75.1044776119403,93.8465805053711,401466,28.42632818222046,,78
66.75,6.0156045,75.0,56.0,66.75,70.97183,6.960597,87.0,53.0,70.97183098591549,88.2630615234375,406505,28.760014057159424,,79
64.375,5.3370757,73.0,53.0,64.375,67.10667,6.294068,85.0,51.0,67.10666666666667,83.11417388916016,411538,29.0969021320343,,80
62.235294,3.573257,72.0,55.0,62.23529411764706,64.64103,6.093238,90.0,55.0,64.64102564102564,79.86212158203125,416580,29.434394121170044,,81
60.705883,4.0112295,73.0,55.0,60.705882352941174,63.734177,4.8723164,87.0,54.0,63.734177215189874,78.16658782958984,421615,29.76736831665039,,82
62.6875,3.6864405,74.0,58.0,62.6875,62.75,4.5097117,76.0,55.0,62.75,76.4142074584961,426635,30.103002071380615,,83
62.294117,2.781551,67.0,56.0,62.294117647058826,62.9375,5.211391,75.0,52.0,62.9375,78.63114929199219,431670,30.437536001205444,,84
65.125,3.935019,71.0,58.0,65.125,62.8375,4.877099,74.0,54.0,62.8375,77.09577941894531,436697,30.774954080581665,,85
67.26667,5.1311684,77.0,60.0,67.26666666666667,64.26923,4.1715555,73.0,56.0,64.26923076923077,78.79318237304688,441710,31.11061406135559,,86
69.13333,4.4552093,77.0,62.0,69.13333333333334,65.960526,4.4261208,78.0,59.0,65.96052631578948,81.77586364746094,446723,31.44484519958496,,87
68.2,5.38145,79.0,61.0,68.2,66.76,5.2277207,84.0,57.0,66.76,81.45672607421875,451730,31.774302005767822,,88
74.0,6.2905827,89.0,64.0,74.0,69.666664,5.580223,85.0,58.0,69.66666666666667,86.07856750488281,456746,32.10769200325012,,89
82.30769,7.009714,99.0,72.0,82.3076923076923,74.07353,7.7919946,109.0,60.0,74.07352941176471,91.73938751220703,461783,32.44202709197998,,90
91.90909,7.9824185,106.0,81.0,91.9090909090909,80.758064,5.898839,94.0,69.0,80.75806451612904,98.52803039550781,466790,32.77739429473877,,91
106.6,14.94791,144.0,91.0,106.6,92.34545,10.096297,126.0,76.0,92.34545454545454,113.59805297851562,471869,33.11663198471069,,92
118.55556,16.546978,152.0,90.0,118.55555555555556,105.270836,12.720947,132.0,85.0,105.27083333333333,131.92454528808594,476922,33.451181173324585,,93
145.25,43.155968,252.0,109.0,145.25,119.23256,17.928589,158.0,95.0,119.23255813953489,148.9218292236328,482049,33.79222011566162,,94
174.66667,19.601587,203.0,143.0,174.66666666666666,154.90909,55.477737,351.0,97.0,154.9090909090909,216.62042236328125,487161,34.139485120773315,,95
143.0,22.077784,176.0,115.0,143.0,185.96297,46.616226,371.0,126.0,185.96296296296296,240.5828094482422,492182,34.478039026260376,,96
121.333336,10.011105,136.0,106.0,121.33333333333333,153.39394,42.85772,291.0,96.0,153.3939393939394,200.75840759277344,497244,34.81779909133911,,97
117.44444,13.7526655,140.0,99.0,117.44444444444444,129.35898,38.165287,344.0,98.0,129.35897435897436,169.1865692138672,502289,35.160712242126465,,98
108.7,13.138112,138.0,89.0,108.7,118.46512,12.546377,157.0,94.0,118.46511627906976,148.6066131591797,507383,35.50897002220154,,99
