"Step","seed_42_20260211_024233 - train/loss","seed_42_20260211_024233 - train/loss__MIN","seed_42_20260211_024233 - train/loss__MAX","seed_42_20260211_020518 - train/loss","seed_42_20260211_020518 - train/loss__MIN","seed_42_20260211_020518 - train/loss__MAX"
"0","2.1135969161987305","2.1135969161987305","2.1135969161987305","0.9884748458862305","0.9884748458862305","0.9884748458862305"
"100","0.8721245527267456","0.8721245527267456","0.8721245527267456","0.15410634875297546","0.15410634875297546","0.15410634875297546"
"200","0.5686426162719727","0.5686426162719727","0.5686426162719727","0.12087293714284897","0.12087293714284897","0.12087293714284897"
"300","0.5028610825538635","0.5028610825538635","0.5028610825538635","0.13019591569900513","0.13019591569900513","0.13019591569900513"
"400","0.428754985332489","0.428754985332489","0.428754985332489","0.12031621485948563","0.12031621485948563","0.12031621485948563"
"500","0.46407005190849304","0.46407005190849304","0.46407005190849304","0.12044206261634827","0.12044206261634827","0.12044206261634827"
"600","0.5102744102478027","0.5102744102478027","0.5102744102478027","0.11466966569423676","0.11466966569423676","0.11466966569423676"
"700","0.5687910914421082","0.5687910914421082","0.5687910914421082","0.10042843222618103","0.10042843222618103","0.10042843222618103"
"800","0.44829240441322327","0.44829240441322327","0.44829240441322327","0.11352177709341049","0.11352177709341049","0.11352177709341049"
"900","0.4261500835418701","0.4261500835418701","0.4261500835418701","0.10620448738336563","0.10620448738336563","0.10620448738336563"
"1000","0.3558897376060486","0.3558897376060486","0.3558897376060486","0.08787920325994492","0.08787920325994492","0.08787920325994492"
"1100","0.40563106536865234","0.40563106536865234","0.40563106536865234","0.09600475430488586","0.09600475430488586","0.09600475430488586"
"1200","0.45583200454711914","0.45583200454711914","0.45583200454711914","0.09271721541881561","0.09271721541881561","0.09271721541881561"
"1300","0.39360421895980835","0.39360421895980835","0.39360421895980835","0.10364121943712234","0.10364121943712234","0.10364121943712234"
"1400","0.3398955762386322","0.3398955762386322","0.3398955762386322","0.07607550919055939","0.07607550919055939","0.07607550919055939"
"1500","0.3646789789199829","0.3646789789199829","0.3646789789199829","0.07783089578151703","0.07783089578151703","0.07783089578151703"
"1600","0.41261035203933716","0.41261035203933716","0.41261035203933716","0.0859779641032219","0.0859779641032219","0.0859779641032219"
"1700","0.3974292278289795","0.3974292278289795","0.3974292278289795","0.09823974967002869","0.09823974967002869","0.09823974967002869"
"1800","0.3948166072368622","0.3948166072368622","0.3948166072368622","0.10369748622179031","0.10369748622179031","0.10369748622179031"
"1900","0.4028794765472412","0.4028794765472412","0.4028794765472412","0.09906580299139023","0.09906580299139023","0.09906580299139023"
"2000","0.36674636602401733","0.36674636602401733","0.36674636602401733","0.09345662593841553","0.09345662593841553","0.09345662593841553"
"2100","0.34072601795196533","0.34072601795196533","0.34072601795196533","0.08030162751674652","0.08030162751674652","0.08030162751674652"
"2200","0.3650341033935547","0.3650341033935547","0.3650341033935547","0.07763218879699707","0.07763218879699707","0.07763218879699707"
"2300","0.3305125832557678","0.3305125832557678","0.3305125832557678","0.07235337793827057","0.07235337793827057","0.07235337793827057"
"2400","0.4006270468235016","0.4006270468235016","0.4006270468235016","0.07780125737190247","0.07780125737190247","0.07780125737190247"
"2500","0.3933132290840149","0.3933132290840149","0.3933132290840149","0.08943985402584076","0.08943985402584076","0.08943985402584076"
